iter	Passed	Remaining
0	139	139383
1	140	70289
2	142	47317
3	143	35784
4	145	28882
5	146	24228
6	147	20884
7	148	18384
8	149	16485
9	150	14943
10	151	13664
11	153	12606
12	154	11758
13	156	10997
14	158	10382
15	159	9790
16	160	9266
17	161	8800
18	162	8381
19	163	8004
20	164	7660
21	165	7348
22	166	7074
23	167	6822
24	169	6605
25	170	6394
26	172	6212
27	173	6031
28	174	5853
29	175	5685
30	176	5532
31	178	5384
32	179	5245
33	179	5113
34	181	4991
35	183	4901
36	185	4825
37	186	4726
38	188	4632
39	189	4537
40	190	4448
41	192	4387
42	194	4329
43	196	4269
44	197	4199
45	198	4125
46	199	4053
47	200	3985
48	202	3938
49	204	3887
50	205	3830
51	206	3772
52	207	3713
53	208	3660
54	210	3609
55	211	3563
56	213	3524
57	214	3484
58	215	3438
59	217	3410
60	218	3367
61	219	3326
62	220	3285
63	222	3250
64	224	3225
65	225	3195
66	227	3164
67	229	3141
68	230	3109
69	232	3083
70	233	3051
71	234	3020
72	235	2990
73	236	2959
74	237	2928
75	238	2899
76	241	2900
77	243	2881
78	244	2854
79	245	2827
80	246	2801
81	247	2775
82	248	2745
83	249	2722
84	250	2698
85	251	2675
86	252	2654
87	254	2636
88	256	2627
89	260	2629
90	261	2609
91	262	2589
92	263	2569
93	264	2551
94	265	2531
95	266	2511
96	267	2494
97	269	2479
98	270	2461
99	272	2449
100	273	2435
101	274	2419
102	276	2404
103	277	2387
104	278	2371
105	279	2355
106	280	2339
107	281	2324
108	282	2309
109	284	2301
110	285	2288
111	287	2280
112	289	2270
113	290	2257
114	291	2244
115	292	2231
116	293	2216
117	294	2203
118	295	2190
119	297	2178
120	299	2172
121	300	2162
122	302	2153
123	304	2147
124	305	2137
125	306	2125
126	307	2112
127	308	2101
128	309	2089
129	310	2076
130	311	2064
131	312	2057
132	314	2049
133	316	2045
134	318	2038
135	319	2029
136	320	2018
137	321	2007
138	322	1998
139	323	1989
140	324	1979
141	325	1967
142	326	1958
143	328	1951
144	329	1944
145	331	1938
146	332	1929
147	333	1920
